YorubaWords,PartOfSpeech
" ibulà, imusan.", n
" suju, şe baibai.", adj
" titobi, ina, ibù. Diminish, v. and i. dinkù, fà-sehín.", n
 ifaschin., n
 kekere., adj
" şişu oju, işe baibai.", n
 iho ni ęrękę., n
 ariwo nla., n
 and i. jeun., v
" dudu, li ēri.", adj
 onję alę., n
 olori ajo ni ilu; Bişop., n
 eyiti o wa labę itoju olori ajo tabi bişopu., n
 and i. fi-bo fibomi., v
" kolobo, arun", n
 iwe ifihan bi a ti, n
" ogbon olori ilu. Dire, adj. buruju.", n
" and i. fi ona han, şe amona, tokasi. adj. gan,", v
" tito, ona, apere.", n
 nisisiyi., adv
 afonahan., n
 iwe ilana., n
" orin arò, orin ofò.", n
" ērí, egbin, erệ.", n
" lērí, legbin, aimp.", adj
 lailagbara., v
 mu itanje kuro., v
 aini anfani., n
" se-aifé, se ainitę. lorun.", v
" aini inudidun si, aini ifé.", n
" şe alairę, şe aiba- mu, jà.", v
" iyato, iyapa, ija.", n
" sẹ, dù, kỳ fun. Disannul, v. so di ofo, pa-rę,", v
" farasin, kuro loju.", v
" ifarasin, ilo kuro loju.", n
" da lara, mu li oju ofo.", v
" imofo, ida- lara.", n
" ibawi, aigbà, aifé.", n
" and i. kỳ, se alaifé, şaigbà.", v
 and i. gbà li ohun ija., v
" se idarudapq, şe rūru.", v
" jamba, ijába.", n
 ni jamba., adj
" sę, kỳ.", v
 and i. tuka., v
 and i. şaigbagbo., v
 alaigbagbo., n
 and i. nawo., v
 inawo., n
" and i. mu kuro, yo", v
" and i. wò, se akiyesi.", v
" iwoye, akiyesi.", n
 and i. yo kuro ni işę., v
 omo-ehin., n
" eto, iko ni ijanu, ilana irin. v. tó, ko, ko ni ijanu.", n
" and i. ko silę, şaijewo.", v
" fi han, şipaya.", v
" ifihan, işipaya.", n
 and i. pa ni awo da., v
 segun., v
 işęgun., n
" irora, inira.", n
" da-ru, ba ninu ję.", v
 idāmu., n
 da-ru., v
" yo-kuro, pin niyà.", v
" ipinya, iyo-kuro.", n
" şaini itunu, ibinuję.", adj
 aisi itelorun., n
 idaduro., n
" fi-silę, da-duro.", v
" airępo, ija, aso.", n
" ti kò ba ara mu. Discount, n. iyokuro, idin owo ků.", adj
 saifojufun., v
" daiyafò, sai-gbaniyanju.", v
" idaiyafò, aigbaniyanju.", n
 pro siso., n
 laibuyin fun., adj
 wa ri., v
 awari., n
 ainigbekele., v
" gbon, niye, nişora.", adj
" iyato. Discretion, n. ogbon, oye.", n
" and i. sami si, yanju.", v
" ami oto, iya. nju.", n
" wadi, jiyan.", v
" ifi òro we oro, iwadi.", n
 gàn. n. ẹgàn., v
 gigan., adj
" arun, okùnrùn.", n
 and i. sokalę lati inu oko., v
 bọ lowo ise., v
" and i. yàn lioju, tu.", v
" da ni ide, yo loko ęrú.", v
 rò li oye., v
 yi ni ijoko pada., v
" aife, aişojureresi.", n
 iba lewa ję., n
 ba lara ję., v
" ègan, itiju. v. se abukùn si.", n
 nitiju., adj
 pa-larada. n., v
 irira., n
 awopoko., n
 aşq inu awo., n
 omori awo., n
 ẹgàn., n
 aidogba., n
" tuka, le kuro.", v
" ba ninu je, daiyafo.", v
 ilé egbogi., n
 laişōto., adj
 aişõto., n
" abukùn, itiju.", n
" nitiju, labu- kùn.", adj
 ainifę., n
 so di mimo., v
 egbogi iso di- mimo., n
 gbà ni ogún tabi ini., v
 laiwa ti ara eni., adj
 ya soto., v
" irira, aifé. v. korira, şe aifé.", n
" ró, yè li orike.", v
 iyè li orike., n
 yo kuro ni ipo rè., v
 ti kò foribalę fun oba., adj
 şokunkun., adj
" daiya fo, dà lamu.", v
" yo-kuro, ran-lo.", v
" iranlo, iyo kuro nişę.", n
 and i. sokalę lori eşin., v
 aigboran., n
 laigboran., adj
 and i. şe aigboran., v
" kò şenia, kò şe inurere.", v
 rudurudu; arun., n
 rudurudu., n
" kỳ, sé.", v
 gàn., v
" igba, sã.", n
 and i. pin fun., v
" and i. funka, tuka.. Displace, v. yi nipo pada.", v
" iyinipo pada. Display, v. fi han, şi-silę.", n
 ba ninu ję., v
 ibinu., n
 ikawo., n
" and i. fi-fun, tà;", v
" iwa, inu.", n
 gbà-lowo., v
 and i. jiyan si. n. ijiyan., v
 so di alaiye., v
 yo-lenu. n. aifai- yabalę., v
" şe aikasi, şe aibo-", v
" ainilari, nitiju.", adj
 iwa buburu., n
" aibowofun, aibo. lafun.", n
 and i. bọ li aşọ., v
" aitenilorun, aito.", n
" şaitenilorun. Dissemble, v. and i. se agaba-", v
" fonka, tukakiri.", v
" iyapa, airę.", n
" yapa, şairę.", v
" yato, laijora.", adj
" iyato, aijora.", n
" itanje, are-", n
 and i. fonka., v
" ifonka, imuti.", n
 ya soto., v
" nifękufé, ni iwa- kiwa.", adj
" idibaję, iparun, ikú.", n
" and i. yo, tuka.", v
" yi lokan pada. Dissuasion, n. iyilokanpada.", v
 keké owu., n
 jijina., n
" jina, jijin.", adj
" irira, aifé.", n
 aidun lenu., adj
 arun aja; ohun, n
" and i. fè, nà.", v
 and i. ro., v
 yiyato; sapakan., adj
" iyato, imo gba- ngba.", n
" and i. mò, sami si loto, se iyato.", v
 lopo., v
" pin ni iya, dalamu.", v
 idamu., n
" işé, iponju. v. mu", n
 pin., v
 ipin., n
" agbegbe, sakani.", n
 se aigbękęle. n., v
 laigbękęle., adj
" ru soke, tó, yo-lenu. Disturbance, n. irukerudo, ariwo.", v
 and i. pinya., v
 or n. ailo., v
" ihò, yàrà.", n
" mõkùn, fo sinu omi.", v
 amökùn., n
" and i. yapa, tuka.", v
" yato, oniruru.", adj
" ere, iyisapakan.", n
" lyato, oniruru.", n
" bọ kurò. Divide, v. and i. pin, ya nipa.", v
 ohun pipin., n
" afose, isotele.", n
 ohun ti prun., adj
" alafoşę, awomi.", n
 iwa orun., n
" ipin, iya si ipa.", n
" yà, kỳ silę, kiko", v
 ikosilę., n
" sipaya, rò kiri.", v
 loyi., adj
 rorun lati ko., adj
 ibi ikan oko. v. and i., n
 agbala ibiti a nkan oko., n
" onişegun, olofin, oloye.", n
" ękó, aşę, ofin.", n
" iwe iridi nkan,", n
 se ètan. v. yi si apakan lojiji., v
 abo agbonrin., n
 oluşe., n
" şi, bộ.", v
 aja., n
" iforiti. Dogma, n. eko, imo.", adj
" kún fun ibanuję,", adj
 omo-langi., n
" ijoba, ilę plola.", n
" ti ilé, tituloju.", adj
" tù loju, mu ki o mo ilé.", v
" ile, ibugbe.", n
" and i. se oluwa,", v
" temple, fi ònrórò", v
" ijoba, ile oba.", n
" ębun, prę.", n
 kętękętę., n
" olufunni, olore. ", n
" idajo, ębi, iparun.", n
 ojo idajo., n
" ilękun, oju ona.", n
 oluşona., n
" pipamo, sisun.", adj
 yara ibusun, n
 iwon õgun., n
 ami. v. şe ami si., n
" aran şişe, alarán.", n
 fé ni afęju., v
 işępo meji., adj
 şişehinsohun., n
 oniyemeji., n
" iyemeji, aidaju. v. and i. şiyemeji.", n
" aidaniloju, niye. meji.", adj
" laişiyemeji, laişe aniani.", adv
 iyęfun alaidin., n
" adaba, çiyele, odere.", n
 ile adaba., n
" opo, olola.", n
 ipin ti opo ninu ini, n
" iyę fulefulę, thuhu", n
" soriko, ręwęsi.", adj
" işubu, iparun. Downhill, geregere oke, 71. isokalę.", n
 ti o hangbangba., adv
 siha isalę., adv
 orin iyin Olorun., n
" togbe, sùn fõrẹ.", v
 mejila., n
" and i. wọ, tà.", v
 and i. fa ninu ere., v
 àwọn nla., n
 ęgbę ologun kan., n
 and i. fa omi kuro. iho omi. n., v
 ako pępeiyę., n
 oluta aşq., n
 asp., n
" ti o lagbara, ti o le.", adj
" ikojo, mimu omi; afefe.", n
" and i. fa, wó.", v
" idiwo, ifasęhin.", n
 afara asun sihin-, n
 iru apoti kan lara tabili., n
 şokoto awotelę., n
 aworan., n
 and i. fà pro., v
 ti a fà., adj
 kękę., n
" eru, ifoiya. v. beru, foiya.", n
" niberu, nifoiya.", adj
 alá. v. and i. la àlá., n
 àlala., n
" se gùdę, şekese.", adj
 gbędo., n
 gedegedę., n
 fi omi rin., v
" aso wiwo, oso.", n
 oluran aşq obin-, n
" èro, ete.", n
 ohun èlo lati fi wa okuta., n
 and i. mu. n. ohun mimu., v
 kán. n. ohun ti o nkán., v
" ora ti a din. Drive, v. and i. le, dari, fi", n
" aleni; õlú, olutoju", n
" ro ojo, fún winni- winni.", v
" èfè, ipanilerin.", n
 ibakasię., n
 ako oyin; plę., n
" and i. soriko, rè silę,", v
" riro, kikán. v. and i. kán bọ, rè.", n
 asúnķun., n
 idàró., n
 dá., n
 owo eran., n
 darandaran., n
" and i. ri sinu omi, ku", v
" nitögbe, lora, fà.", adj
" ögùn, egbogi.", n
" ilu, eti. v. and i. lu ilu.", n
 onilu., n
 opa ilu., n
 motipara., adj
 omuti., n
" gbę, pongbę.", adj
 meji., n
 ni aidaju., adj
 pępeiyę. v. and i. ri, n
 omo-pepeiye., n
 o rorun lati fà., adj
 arankan., n
" ję, yę, dede. n. gbese.", adj
 ija larin enia meji., n
 oye kan ti o tele oba., n
" gò, kunu, şe sü.", adj
 niyiyę., adv
 yadi., adj
 dalamu., v
 ręwęsi., adj
" kukuru. Dunce, n. òngo, odogo", adj
" igbę, imí, iyagbę.", n
" tubu, iho nisalę ilę.", n
 atan., n
 eniti ko şoro tanje., n
 sępo ni meji., n
 işępo meji., n
" etan, işehinsohun.", n
" agbara ipętiti, ko", n
" le, ti o pę.", adj
 itimole., n
" nigba, latigba.", prep
 wiriwiri alę. n., adj
" ēkuru, erupę. v. and i. nù õkuru kuro.", n
 aso ninu ēkuru., n
" şegboran, ni iteriba.", adj
 işe isin; owo-bode., n
" árará, ràrá.", n
" gbé, joko, wà, tędosi.", v
 ibugbe., n
 soki., v
 and i. rę láro. n. aró., v
 ti nkú lọ., adj
 ètu alagbara ti a fi nlà okuta., n
 ila oba kan., n
" prin, şişu eję. Dyspepsia, n. arun apoluku; aida onję ninu apoluku.", n
" niwára, nitara.", adj
" pelu iwara, pelu itara.", adv
 idi (şiye)., n
" omo idi. Ear, n. eti, şiri oka.", n
 irora eti., n
 oye nla kan., n
" tete, ni kutukutu, ni", adj
" ję, pa owo ni işę tabi li oja.", v
" nitara, nigbona, nifqkansi. n. owo itelę, akoso.", adj
 owo isę., n
 oruka eti., n
" Earthenware, n. ohun elo ti afi", n
" ti aiye, ti ilę, ti", adj
 isele., n
 kokoro kekere., n
" irora, ainira, idera.", n
 igi ti a ngbe aworan le., n
" nirora, lainira.", adv
" ila õrùn, gabasi.", n
 ojo ajinde Kristi., n
 niha ila õrùn., adj
 siha ila õrùn., adv
" laişoro, ni rorun.", adj
 and i. ję., v
 ohun jiję., n
" pjeun, oję.", n
" gbagbaro, enu osoro ile.", n
 afeti gbegiri., n
" fà, ghẹ, sa. n. fifà,", v
 igi dudu., n
" tase, yato.", adj
 alufa., n
 ohun ti işe ti ajo., adj
 gbohungbohun., n
" işijibo, imuşokunkun.", n
" şişunna, şişunlo.", adj
" işunna, işunlò; itoju owo.", n
 ayo ayoju., n
" arun awo ara, ekuru.", n
" aşanpada omi, aşan yika.", n
" oju ohun elo, eti ohun, oju obę. v. and i. lęba, leti, sunmo..", n
 yę ni jiję., adj
" ikede, işofin. Edification, n. ifęsęmulę, ękó,", n
 ilé kiko., n
 ko; kole; mu, v
 èda iwe., n
 alakoso iwe titę., n
" tọ, kó, kọ li ęko.", v
" eko, ito omode. Educe, Deduce, v. fa-jade, yo-", n
" eja ejo, idagba iję omi.", n
" pa oju run, parę. Effect, n. ère, eso işę. v. mu se.", v
" lagbara, lasę.", adj
" gbara, aşę.", n
" agbara lati şişę,", n
 aworan enikan., n
" iyanju, iroju, ifi", n
 afojudi., n
 tu jade., v
 itujade., n
 eyin., n
 ijadelo., n
 ako., n
 ējo., adj
 õjidilogun., adj
 ogorin., adj
" ke soke, wi li", v
" adura kukuru, pro lati inu wa.", n
" le jade, ti sode, ta-nu;", v
" itanu, imukuro;", n
 sunna., v
 se. adj. dara, v
 koja., v
" lò, lilò.", adj
 igberaga. v. şe, adj
 igbonwo., n
" ẹgbón, àgba.", n
 àgbàgbà., n
" akobi, ẹgbón.", adj
" yàn, sà. adj. aşayan,", v
" iyan, işayan, iyanfé.", n
" alaşayan, alayanfé.", n
" idara, ewa.", n
" dara, dùn.", adj
" èya merin aiye,", n
" iberę, ipilęsę.", adj
" erin, ajanaku.", n
" arun iwu ara, jakutė.", n
" gbeleke, gbesoke, gbe ga.", v
 igbeleke., n
 ohun elo igbe nkan, n
 õkanla., adj
 ikokanla., adj
 yo jade., v
 iyo ifé jade., n
 yę ni yiyàn., adj
" le jade, mu kuro.", v
 agborin nla., n
" pro siso, imo isoro nigbangba.", n
 oluko oro siso., n
 and i. fa-gùn., v
 ifagun., n
 salo nikoko., v
" isoro würu, isoro didùn.", n
" li asodun, ni ebun oro siso.", adj
 nibomi., adv
" ladi, tumo.", v
" iladi, itumo.", n
 fi èrú tàn silę., v
" rù, joro.", v
 rirù., n
 şan jade., v
 işanjade lati inu ibi kan., n
" da kuro loko eru, tu-silę.", v
" iyo kuro loko eru, idasilę.", n
" tè li oda, tệ li", v
 fi qşę wę oku., v
" fi bebe yi i ka. Embankment, n. eti bebo.", v
" and i. fi sinu ọkỳ,", v
" ibosoko, iwoko.", n
" go, su, damu.", v
" gigo, sisu,", n
 se li oso., v
 ohun oso., n
 oguna şuşu., n
 jale li aşiri., v
 ilo ohun ti afi, n
 mu koro., v
 apērę., n
" fikun, fisi.", v
" ré, ré ni ila.", v
 fi apa gbamora., v
 egbogi pipa, n
" gun ona, şişe", v
 onişona aberę., n
 işę abere., n
" õlè, oyun.", n
 iru okuta iyebiye, n
" ru-jade, ti inu nkan jade.", v
" ti inu jade, li ojiji.", n
 õgun imunibi., n
 and i. și lati ibi, v
 işi ipo kiri., n
" oke giga, giga,", n
" giga, hihàn.", adj
" ami, aşohun, iko.", n
" itujade, ifunjade.", n
" tu, fun, fo. ", v
 oruko Messiah., n
 prún., n
" erè, anfani.", n
 qba nla kan., n
 itęnumo., n
" ko akole si iwe, fi", v
" irú inu, idide qkan.", n
 ifowo si iwe., n
" agbara oba, ile oba.", n
 fi işę fun., v
" afunninişeşe, oga.", n
 işę., n
" oja nla, ibi òwò.", n
 so di talaka., v
 fi aşę fun., v
 aya qba nla., n
" ofo, işofo.", n
" ofo, asan.", adj
" dù, se lara si.", v
" ibadù, işelarasi.", n
" fi agbara fun, muşe. Enact, v. fi-lelę, pa li aşe, se.", v
" and i. pago, se budo.", v
" ibudo, ago.", n
 de li ewon., v
" se ifaiya si, fe gidi- gidi.", v
 oso., n
" ifaiya, işoşo.", n
" ilę ti a sogba yika. Encompass, v. yika.", n
" ija, ogun. v. ja,", n
 gba niyanju; mu lokan le., v
" iyanju, imu-", n
 finràn., v
 ifinran., n
 hà li aye; di li owo., v
" ihalaye, idi-", n
" opin, idi, itori.", n
 wu lewu., v
 işe iyanju. v. and i. gbiyanju., n
" lailopin, pękun. laini-", adj
" fifun, fi itori fun aya", v
" ohun ini, ebun ti abi ni bi.", n
" fi-wo, fi-fun.", v
" iroju, ifokanran,", n
" and i. foriti, roju.", v
" ota, onikupani.", n
 agbara lati şişę., n
 mu-lailagbara., v
" alailagbara, ala- inokun.", n
" ro-lowo, ro-lapa. Enfetter, v. da li ęwon.", v
" fi-we, fi-di.", v
 fi agbara şe., v
 so di omnira., v
 isodomnira., n
 and i. gba-nişę;, v
" işę, ileri, ade- hun igbayawo", n
" ifani, iwuni.", adj
" bi, hu.", v
 ohun ero., n
 elero., n
 yi-ka., v
" fin, sona fifin si, gbé.", v
 agbenna., n
" gba-kado, gba", v
 gbe mi patapata., v
" lewo si, po si.", v
 aló., n
 fi aşe fun., v
" fi adùn mo, ję aiye. Enjoyment, n. adun, iję aiye.", v
 tinabò., v
" and i. fè, mu-tobi. Enlargement, n. ifè, imutobi.", v
" foye hàn, la-loye,", v
" ifoyehàn, ifun-", n
 and i. fi şe omo-ogun., v
" mu-laraya, sọ-daye.", v
" arankan, qta.", n
" bola fun, buyin fun.", v
" ẹse nlà, nkan", n
" tobiju, buruju.", adj
 to., adj
" mu-binu, tó.", v
 fi ayo kun., v
 so di plory., v
 fi sinu iwe., v
 ifi sinu iwe., n
 apęrę., n
" asia, opagun.", n
 sin li ęrú., v
" tele, lepa.", v
 şe-daju., v
" fi lolu, fi wepo.", v
" ifilolu, ifiwepo.", n
" and i. wo, wole, wonu; ko sinu iwe.", v
" idawole ti o li ewu. Entertain, v. se li alejo, ba-soro.", n
 àse apeję ibi ere., n
 mu gori itę., v
 imu gori itę., n
" itara, igbona", n
 onitara., n
" tàn, rélọ, dan-wo.", v
" etan, irélo, idan- wo.", n
 gbogbo., adj
 patapata., adv
 fi oruko fun., v
 tę sinu iboji., v
"pl. ifun, inu.", n
" ona, oju ona.", n
" de, dekun mu.", v
" bè, tọrọ.", v
" èbę, adura.", n
 fi le lowo., v
" ona, iwolu.", n
" kà, da oruko.", v
" itunka şaşa. Enunciate, v. so, wi.", n
" sisę, wiwi.", n
" bò, pa-mọ.", v
" ibowe, apo iwe.", n
 ibò patapata., n
 nilara., adj
 kun fun ilara., adj
" yi-ka, fi yika.", v
 eyiti o yi i ka, n
pl. ayika ehin ilu., n
" onişę oba, ikỳ.", n
 ilara. v. se ilara., n
 ohun oso alufa awon, n
" ojedidün, ajadùn.", n
" riranni, titanka.", adj
" ipá, iwárapa.", n
 ni warapa., n
 Ifihàn., n
 işe oye awon, n
 itan., n
 iwe kiko., n
 akole., n
 ikekuro., n
" ke-kuru, fa-kuru.", v
 igba iberę si ika akoko., n
" bakanna, şedēdē.", adj
" egbę, ogba, adj. jora.", n
 so di ogbogba., v
 idogba., n
 bakanna., adv
 ibalę okan., n
 ila ayika ti o da aıye, n
 ti eşin. n., adj
 ti eşin., adj
" pese, şe loso.", v
" ipese, imura, işeloso.", n
" işedēdē, işotito.", n
 iri kanna., n
 iberę si ika ojo., n
" fatu ni gbongbo, parę.", v
" pa-rę, pa-run.", v
 ki-to., adv
" gbe dide, kolé. adj.", v
" iro, ikolé, igbero.", n
" şina, şişe.", v
 işę., n
 rederede., adj
 kún fun işişe., adj
" eşi, işişe.", n
" ibé, itujade.", n
" and i. bọ lowo, ye-kuro. n. isalo kuro ninu ewu.", v
 yę-kuro korira., v
" onitoju lona, eniti", n
" pataki, olori.", adj
" ti igbeyawo, ade. hun igbeyawo.", n
 fifunni ni iyawo., v
 ri li okere., v
 oyè iyin., n
" and i. danwo, gbi- yanju. n. idanwo, igbiyanju. Essence, n. eda, pro agbara.", v
" kò le şe alaini. Establish, v. pinnu, fi-kalę.", adj
" ipinnu, ifikalę, ilé.", n
" ipo, ohun iní.", n
" yin, ka-si, bu iyin", v
" kà iye rè, şiro, diyele.", v
" idiyele, iyin.", n
" takete si, ya, şajeji si.", v
" itakete si, işajeji si.", n
 enu ija omi., n
" lailai, aiyeraiye.", adj
" ailopin, aiyeraiye.", n
 ti iwa., n
" idupę, Sakramenti onję ale Oluwa.", n
 iyin., n
" iwęfa, bafin, akura.", n
" jade kuro, so di", v
" iso di ofo, ijade kuro.", n
" ye-silę, yera fun.", v
 ihin rere., n
 onihinrere., n
 wasu ihin rere fun., n
" and i. gbẹ, fà, di", v
" igbę, idi afefe. Evasion, n. awawi.", n
" aşālę, ikasę ojo.", n
" or adj. dogba, tęju,", adv
 aşāle., n
" opin, eso. Ever, adv. nigbagbogbo, lai.", n
 titi aiye., adj
 titi lai., adv
 olukuluku., adj
 lojojumo., adj
 nibigbogbo., adv
" mu kuro, le-jade.", v
" ilejade, imukuro.", n
 ęrí., n
" hàn, nigbangba, riri.", adj
" buburu, jamba; bilisi. adj. buburu, nikà.", n
" eleşę, oluşebuburu.", n
" oninu buburu. Evil-speaking, n. ispro buburu", adj
" fi-han, ladi.", v
 pè jade., v
" and i. tu-silę, fi-han.", v
 abo agutan., n
" ago nla, ladugbo.", n
" akiyesi, gan. v.", adj
 ifagbara bère; ilolowogbà., n
 işedēdē., n
" bukún pro, sasodün, şenisi.", v
" ibukún òro, işenisi.", n
" gbe-ga, gbe-leke, yin.", v
" igbega, igbesoke, ilolowogbà.", n
" iwadi nipa ibere, idanwo.", n
" and i. fi ibēre wadi, danwo.", v
" oludanwo, oluwadi. Example, n. apērę, awose. Exasperate, v. tó, mu-binu, ru-", n
" itoni, imunibinu.", n
" wà ihò. Excav.on, n. iwà ihò, koto.", v
" and i. re-koja, şe-ju,", v
 re-koja., adj
 and i. ta-yo., v
" itayo, irekoja,", n
" daraju, titayo.", adj
" bikoşepe, afi. v. and i. mu-kuro.", prep
" imukuro, işati.", n
 aşeju., n
 rekoja àla., adj
 and i. se paşiparo., v
" ru-soke, to.", v
" irusoke, iré.", n
 and i. kigbe soke., v
 igbe., n
" semple, şatı, ti-sode.", v
" isemple, işati, iti sode.", n
 yo kuro, v
 da-loro., v
" nirora, loró.", adj
" fi-ji, wè-mọ.", v
" ijadelo. Excusable, adj. yę fun idalare.", n
" se gafara fun, dariji. n. awawi, gafara.", v
" and i. fi-bu, fi-re, fi-gegun.", v
" ifibu, ifire, egun.", n
" şe, pa-ku, pa. Execution, n. işe, ipaku, ipa.", v
" tętu, alunipa.", n
" aworan, apērę.", n
" da-si, tu-silę.", v
" idasi, itusilę.", n
 şe idaraya. v. işę iwe., n
" lò-agbara, gbiyanju.", v
" ilò agbara, iyara,", n
" rè, şarę, dálagă.", v
" arę, igbę.", n
" fi-han, muwa si igbangba.", v
 ifihan ni gbangba., n
" mu-daraya, fun", v
" gbaniyanju, fi imp- ran fun.", v
" pro iyanju, iwa- su.", n
" aini. Exile, v. le kuro nilu. n. isansa.", n
" wà, ni iwa.", v
 iwa., n
 ijadelo., n
" iwe keji ti Mose, ijadelo.", n
" mu kuro lorun, mu ębi kuro.", v
" tobi rekoja, rekoja àla.", adj
 le ęmi buburu jade., v
" and i. tę, tu-silę, nà.", v
 titęju., n
" itelo, inàlo.", n
 fa-gun., v
" duro de, reti, fi oju", v
 ireti., n
 tu to jade., v
 ito enu., n
" eye, ètó.", n
 yiye tito., adj
" ran-lowo, mu-yara, mu idina kuro.", v
" irin ajo, iyara.", n
" niyarayara,", adj
 le-jade., v
" nawo, se inawo.", v
 inawo., n
 li owo lori., adj
" idanwo, imo, ogbon.", n
 idanwo., n
" gbọn, ampye.", adj
" se etutu fun, san", v
 etutu., n
" mimi, opin, ikú. Expire, v. and i. kú, dakę,", n
 tumỳ., v
" itumò, iladi.", n
" daju, gbangba.", adj
 and i. bé., v
 wa-kiri., v
" ibé, ariwo nla.", n
 ranlo si ile miran fun tità loja., v
 iran oja lo si ilę, n
 fihan ni gbangba., v
" itumò, ifihàn.", n
 alasqye., n
" jiyan, saroye,", v
" iyàn, aroye.", n
 ladi sq asqye., v
" soro, wi, fun-jade.", v
 isoro; lwo., n
 ilejade., n
" pa-rè, mu-kuro.", v
 didara., adj
 lairo tele:, adv
" and i. lo titi, fa-gun.", v
" itanka ilosiwaju,", n
" fa-kere, bu-kuro.", v
" ode, iwo ode. adj. lode, lehin ode.", n
 pa-run pata-, v
 iparun., n
 lehin ode lode., adj
" run, alaisi.", adj
" iparun, rirun.", n
 pa., v
 fatu kuro., v
" pokiki, yin.", v
 fi agbara gba., v
" ilonilowogba, iręje. Extortioner, n. alonilowogba.", n
 fa-jade. n. nkan ti a fà jade., v
 ifa-jade., n
" iyanilenu,", adj
" inawo rekoja, ifişofo, inakuna.", n
" lofò, nidanu, ni inakuna.", adj
 de opin. n. opin., adj
" şonso ori, opinle.", n
" da-silę, mu idiwo", v
" idasilę, itusilę.", n
" lopolopo, akún- wosile.", adj
 and i. lagun., v
" yo ayo nla, şogo. Exultation, n. ayq, ogo.", v
 ojú., n
 eyin ojú., n
 igbengbereju., n
 digi iriran ojú., n
 irun ipenpeju., n
 ipenpeju., n
 iriran oju., n
 arojuse., n
 çleri., n
" itan asan, àlý.", n
" aşq, ilé, işe.", n
" fi işe şe, kó; şeké.", v
 ikole., n
" oju, iwaju. v. and i.", n
" arun oju. Facile, adj. rorun, titę.", n
 mu rorun., v
 irorun., n
" otito işe, nkan ti o daju.", n
" egbe iyapa, qta. Factor, n. aşojuęni, oloju eni.", n
 egbe awon onisowo ile işę., n
" iyè, ogbon ori, imo. Fade, v. and i. rè-silę, tí, fò. Fæces, Feces, n. igbę.", n
" and i. rè, sú, da lagara.", v
" tayo-tayo, pelu inu- didùn.", adv
" da-ku, şārė, sojo.", v
" lojo, folya, jaiya.", adj
 ndaku., n
" ijaiya, ikuna oju,", n
" dara, lewa. n. oja.", adj
" idara, ewa; işotito.", n
 aroni., n
" igbagbo, igbekele.", n
" olõto, olododo.", adj
" li otito. Faithfulness, n. işotito.", adv
" alaigbagbo, alaişõto.", adj
 aşá., n
" subu, bę silę. n. işubu.", v
" lętan, lërú.", adj
" etan, idarú.", n
" dibaję, di eleşę.", adj
 erú; aşişe., n
" letan, lerú.", adj
" warapa, ipa.", n
 ilę ti a kò ro., adj
 laişõto., adj
 larekereke., adj
 eké., n
 letan., adv
 se iwe eké., v
" and i. tase, kosę,", v
 okiki., n
" mimò, faramó.", adj
 imp., n
 idile., n
 iyan., n
 and i. fi ebi paku., v
 lokiki., adj
" abębę, atę. v. and ife.", n
 onirokuro., n
" işebi. v. sebi, rò.", n
" ehin şişanni, ēkanna.", n
 nirokuro., adj
" jina, jijina.", adv
 owo işę; onję. v. ri., n
 gbere! alafia !, interj
" gari, elubo.", n
 oko., n
" agbė, oloko.", n
" onibata eşin, onisegun eşin.", n
 siwaju. v. sun siwaju., adj
 siwaju julo., adj
 ida merin owo baba kan., n
" fanimora si, wù.", v
" nifanimora, ni iwu, didùn.", adj
" àwọ, işe. v. se, ye.", n
" awę, yárá. v. gbawę.", n
" and i. so, dì.", v
 soro lati wù., adj
 ora. adj. sanra., n
 mu-sanra., v
" tikú, tiparun.", adj
" ipin, opin, idarisi; iku.", n
 baba., n
 iwa ti baba., n
" ana, baba aya tabi baba oko.", n
 ilę awon baba wa; ilu eni., n
 alaini baba., adj
 bi ti baba., adj
 ìwon osuwon ese, n
 lainisalę., adj
" ārę, agara.", n
 egboro eran abopa., n
" isanra, ilora.", n
" and i. mu sanra, bọ sanra.", v
" ese, àbukun. Faultless, adj. ailabukun, pe.", n
" leşę, làbukun.", adj
" oju-rere, işeun. v. şe ojurere si.", n
" loju rere, niti- lehin.", adj
 ayanfé., n
 omo agbonrin. v. and i. pón., n
 ileri iwa olõto., n
" èru, ifoiya. v. and i.", n
 iberu., n
" laifoiya, lainiberu.", adj
 şişe., adj
" ase, ajo. v. and i. se asè.", n
" ba-jeun ję onję ase. Feat, n. işe agbara.", v
 iye çiyę., n
 iwo oju., n
 oşu keji li odun., n
" ni adehun, ti egbę.", adj
" işpkan, idapp.", n
" qya, esan, ibulé.", n
" lailera, lailagbara.", adj
" ailera, ailagbara.", n
" and i. bó, fun li onję.", v
" imò, ifọwọbà.", n
 ęsę., n
" and i. se afarawe, şe-bi, fi-pè.", v
" pelu agabagebe, fi etan şe.", adv
 itanje., n
" ng-yo, ba-yo.", v
" ayo, irora, inu-didun.", n
" ke-lulè, wo.", v
" egbę, ogba, enikeji.", n
" idapo, ikęgbę.", n
 adaràn nla., n
" eşe nlà, eşe ikú.", n
" obirin, abo. Feminine, adj. iwa ti obinrin,", adj
" ęrę, irà, potopoto.", n
" ogba, ogiri. v. and i.", n
" and i. ru, dide, da, hó, sé.", v
" ihó, ida, işé.", n
" nirorò, kan loju,", adj
" irorò, ikà.", n
" wa oko soda, tukę.", v
 ploko awasoda., n
 leso; letu loju., adj
 igboná okan., n
 gboná., adj
" igboná, itara.", n
